mode,sut,latency,path
base,7-rust,0.0008,base/7-rust/7.trace.txt
base,7-rust,0.0007,base/7-rust/3.trace.txt
base,7-rust,0.0007,base/7-rust/8.trace.txt
base,7-rust,0.0007,base/7-rust/9.trace.txt
base,7-rust,0.0007,base/7-rust/1.trace.txt
base,7-rust,0.0007,base/7-rust/10.trace.txt
base,7-rust,0.0007,base/7-rust/2.trace.txt
base,7-rust,0.0007,base/7-rust/4.trace.txt
base,7-rust,0.0007,base/7-rust/6.trace.txt
base,7-rust,0.0007,base/7-rust/5.trace.txt
base,2-bash,0.0013,base/2-bash/7.trace.txt
base,2-bash,0.0013,base/2-bash/3.trace.txt
base,2-bash,0.0013,base/2-bash/8.trace.txt
base,2-bash,0.0013,base/2-bash/9.trace.txt
base,2-bash,0.0013,base/2-bash/1.trace.txt
base,2-bash,0.0013,base/2-bash/10.trace.txt
base,2-bash,0.0013,base/2-bash/2.trace.txt
base,2-bash,0.0013,base/2-bash/4.trace.txt
base,2-bash,0.0013,base/2-bash/6.trace.txt
base,2-bash,0.0013,base/2-bash/5.trace.txt
base,6-cpp,0.0014,base/6-cpp/7.trace.txt
base,6-cpp,0.0014,base/6-cpp/3.trace.txt
base,6-cpp,0.0014,base/6-cpp/8.trace.txt
base,6-cpp,0.0014,base/6-cpp/9.trace.txt
base,6-cpp,0.0014,base/6-cpp/1.trace.txt
base,6-cpp,0.0014,base/6-cpp/10.trace.txt
base,6-cpp,0.0014,base/6-cpp/2.trace.txt
base,6-cpp,0.0014,base/6-cpp/4.trace.txt
base,6-cpp,0.0014,base/6-cpp/6.trace.txt
base,6-cpp,0.0014,base/6-cpp/5.trace.txt
base,3-zsh,0.0018,base/3-zsh/7.trace.txt
base,3-zsh,0.0018,base/3-zsh/3.trace.txt
base,3-zsh,0.0018,base/3-zsh/8.trace.txt
base,3-zsh,0.0019,base/3-zsh/9.trace.txt
base,3-zsh,0.0018,base/3-zsh/1.trace.txt
base,3-zsh,0.0018,base/3-zsh/10.trace.txt
base,3-zsh,0.0018,base/3-zsh/2.trace.txt
base,3-zsh,0.0018,base/3-zsh/4.trace.txt
base,3-zsh,0.0018,base/3-zsh/6.trace.txt
base,3-zsh,0.0019,base/3-zsh/5.trace.txt
base,1-dash,0.0006,base/1-dash/7.trace.txt
base,1-dash,0.0006,base/1-dash/3.trace.txt
base,1-dash,0.0006,base/1-dash/8.trace.txt
base,1-dash,0.0006,base/1-dash/9.trace.txt
base,1-dash,0.0006,base/1-dash/1.trace.txt
base,1-dash,0.0006,base/1-dash/10.trace.txt
base,1-dash,0.0006,base/1-dash/2.trace.txt
base,1-dash,0.0006,base/1-dash/4.trace.txt
base,1-dash,0.0006,base/1-dash/6.trace.txt
base,1-dash,0.0006,base/1-dash/5.trace.txt
base,8-golang,0.0023,base/8-golang/7.trace.txt
base,8-golang,0.0041,base/8-golang/3.trace.txt
base,8-golang,0.0039,base/8-golang/8.trace.txt
base,8-golang,0.0024,base/8-golang/9.trace.txt
base,8-golang,0.0038,base/8-golang/1.trace.txt
base,8-golang,0.0024,base/8-golang/10.trace.txt
base,8-golang,0.0024,base/8-golang/2.trace.txt
base,8-golang,0.0038,base/8-golang/4.trace.txt
base,8-golang,0.0025,base/8-golang/6.trace.txt
base,8-golang,0.004,base/8-golang/5.trace.txt
base,4-python,0.0142,base/4-python/7.trace.txt
base,4-python,0.014,base/4-python/3.trace.txt
base,4-python,0.0142,base/4-python/8.trace.txt
base,4-python,0.014,base/4-python/9.trace.txt
base,4-python,0.0556,base/4-python/1.trace.txt
base,4-python,0.014,base/4-python/10.trace.txt
base,4-python,0.0142,base/4-python/2.trace.txt
base,4-python,0.0141,base/4-python/4.trace.txt
base,4-python,0.014,base/4-python/6.trace.txt
base,4-python,0.0142,base/4-python/5.trace.txt
base,5-c,0.0005,base/5-c/7.trace.txt
base,5-c,0.0005,base/5-c/3.trace.txt
base,5-c,0.0005,base/5-c/8.trace.txt
base,5-c,0.0005,base/5-c/9.trace.txt
base,5-c,0.0005,base/5-c/1.trace.txt
base,5-c,0.0005,base/5-c/10.trace.txt
base,5-c,0.0005,base/5-c/2.trace.txt
base,5-c,0.0005,base/5-c/4.trace.txt
base,5-c,0.0005,base/5-c/6.trace.txt
base,5-c,0.0005,base/5-c/5.trace.txt
no_cache,7-rust,0.0011,no_cache/7-rust/7.trace.txt
no_cache,7-rust,0.001,no_cache/7-rust/3.trace.txt
no_cache,7-rust,0.0011,no_cache/7-rust/8.trace.txt
no_cache,7-rust,0.0012,no_cache/7-rust/9.trace.txt
no_cache,7-rust,0.0012,no_cache/7-rust/1.trace.txt
no_cache,7-rust,0.0011,no_cache/7-rust/10.trace.txt
no_cache,7-rust,0.0012,no_cache/7-rust/2.trace.txt
no_cache,7-rust,0.0011,no_cache/7-rust/4.trace.txt
no_cache,7-rust,0.001,no_cache/7-rust/6.trace.txt
no_cache,7-rust,0.001,no_cache/7-rust/5.trace.txt
no_cache,2-bash,0.0029,no_cache/2-bash/7.trace.txt
no_cache,2-bash,0.0031,no_cache/2-bash/3.trace.txt
no_cache,2-bash,0.0029,no_cache/2-bash/8.trace.txt
no_cache,2-bash,0.0055,no_cache/2-bash/9.trace.txt
no_cache,2-bash,0.0086,no_cache/2-bash/1.trace.txt
no_cache,2-bash,0.0029,no_cache/2-bash/10.trace.txt
no_cache,2-bash,0.003,no_cache/2-bash/2.trace.txt
no_cache,2-bash,0.003,no_cache/2-bash/4.trace.txt
no_cache,2-bash,0.0029,no_cache/2-bash/6.trace.txt
no_cache,2-bash,0.0031,no_cache/2-bash/5.trace.txt
no_cache,6-cpp,0.0015,no_cache/6-cpp/7.trace.txt
no_cache,6-cpp,0.0014,no_cache/6-cpp/3.trace.txt
no_cache,6-cpp,0.0016,no_cache/6-cpp/8.trace.txt
no_cache,6-cpp,0.0014,no_cache/6-cpp/9.trace.txt
no_cache,6-cpp,0.0015,no_cache/6-cpp/1.trace.txt
no_cache,6-cpp,0.0015,no_cache/6-cpp/10.trace.txt
no_cache,6-cpp,0.0015,no_cache/6-cpp/2.trace.txt
no_cache,6-cpp,0.0014,no_cache/6-cpp/4.trace.txt
no_cache,6-cpp,0.0014,no_cache/6-cpp/6.trace.txt
no_cache,6-cpp,0.0015,no_cache/6-cpp/5.trace.txt
no_cache,3-zsh,0.0035,no_cache/3-zsh/7.trace.txt
no_cache,3-zsh,0.0023,no_cache/3-zsh/3.trace.txt
no_cache,3-zsh,0.0024,no_cache/3-zsh/8.trace.txt
no_cache,3-zsh,0.0023,no_cache/3-zsh/9.trace.txt
no_cache,3-zsh,0.0036,no_cache/3-zsh/1.trace.txt
no_cache,3-zsh,0.0023,no_cache/3-zsh/10.trace.txt
no_cache,3-zsh,0.0023,no_cache/3-zsh/2.trace.txt
no_cache,3-zsh,0.0023,no_cache/3-zsh/4.trace.txt
no_cache,3-zsh,0.0024,no_cache/3-zsh/6.trace.txt
no_cache,3-zsh,0.0023,no_cache/3-zsh/5.trace.txt
no_cache,1-dash,0.0006,no_cache/1-dash/7.trace.txt
no_cache,1-dash,0.0006,no_cache/1-dash/3.trace.txt
no_cache,1-dash,0.0006,no_cache/1-dash/8.trace.txt
no_cache,1-dash,0.0006,no_cache/1-dash/9.trace.txt
no_cache,1-dash,0.0006,no_cache/1-dash/1.trace.txt
no_cache,1-dash,0.0006,no_cache/1-dash/10.trace.txt
no_cache,1-dash,0.0009,no_cache/1-dash/2.trace.txt
no_cache,1-dash,0.0006,no_cache/1-dash/4.trace.txt
no_cache,1-dash,0.0006,no_cache/1-dash/6.trace.txt
no_cache,1-dash,0.0006,no_cache/1-dash/5.trace.txt
no_cache,8-golang,0.0044,no_cache/8-golang/7.trace.txt
no_cache,8-golang,0.0056,no_cache/8-golang/3.trace.txt
no_cache,8-golang,0.0043,no_cache/8-golang/8.trace.txt
no_cache,8-golang,0.0099,no_cache/8-golang/9.trace.txt
no_cache,8-golang,0.0062,no_cache/8-golang/1.trace.txt
no_cache,8-golang,0.0057,no_cache/8-golang/10.trace.txt
no_cache,8-golang,0.0094,no_cache/8-golang/2.trace.txt
no_cache,8-golang,0.0041,no_cache/8-golang/4.trace.txt
no_cache,8-golang,0.0044,no_cache/8-golang/6.trace.txt
no_cache,8-golang,0.0064,no_cache/8-golang/5.trace.txt
no_cache,4-python,0.023,no_cache/4-python/7.trace.txt
no_cache,4-python,0.0223,no_cache/4-python/3.trace.txt
no_cache,4-python,0.0222,no_cache/4-python/8.trace.txt
no_cache,4-python,0.0222,no_cache/4-python/9.trace.txt
no_cache,4-python,0.0266,no_cache/4-python/1.trace.txt
no_cache,4-python,0.0562,no_cache/4-python/10.trace.txt
no_cache,4-python,0.0221,no_cache/4-python/2.trace.txt
no_cache,4-python,0.0225,no_cache/4-python/4.trace.txt
no_cache,4-python,0.0221,no_cache/4-python/6.trace.txt
no_cache,4-python,0.0239,no_cache/4-python/5.trace.txt
no_cache,5-c,0.0005,no_cache/5-c/7.trace.txt
no_cache,5-c,0.0005,no_cache/5-c/3.trace.txt
no_cache,5-c,0.0005,no_cache/5-c/8.trace.txt
no_cache,5-c,0.0005,no_cache/5-c/9.trace.txt
no_cache,5-c,0.0005,no_cache/5-c/1.trace.txt
no_cache,5-c,0.0005,no_cache/5-c/10.trace.txt
no_cache,5-c,0.0005,no_cache/5-c/2.trace.txt
no_cache,5-c,0.0005,no_cache/5-c/4.trace.txt
no_cache,5-c,0.0005,no_cache/5-c/6.trace.txt
no_cache,5-c,0.0005,no_cache/5-c/5.trace.txt
